t_s,bufPctRaw,bufPctSmoothed,bufPctDrawn,redraws,lastSkipReason
0.0,19,19,19,16,delta
0.024,19,19,19,16,delta
0.0453,19,19,19,16,delta
0.0668,19,19,19,16,delta
0.0894,19,19,19,16,delta
0.1115,19,19,19,16,delta
0.1327,19,19,19,16,delta
0.1587,19,19,19,16,delta
0.1799,19,19,19,16,delta
0.2023,19,19,19,16,delta
0.2246,19,19,19,16,delta
0.246,19,19,19,16,delta
0.2811,100,35,35,17,none
0.3329,93,57,35,17,interval
0.3783,100,78,35,17,interval
0.4256,93,85,35,17,interval
0.4714,93,89,89,18,none
0.5168,93,92,89,18,interval
0.5742,93,92,89,18,interval
0.6244,93,94,89,18,interval
0.6743,87,91,89,18,interval
0.709,74,88,89,18,delta
0.7498,68,84,84,19,none
0.7828,55,74,84,19,interval
0.8303,48,65,84,19,interval
0.8653,35,59,84,19,interval
0.9068,29,53,84,19,interval
0.9456,93,68,68,20,none
0.9913,93,85,68,20,interval
1.0414,93,87,68,20,interval
1.0944,100,92,68,20,interval
1.1447,100,96,68,20,interval
1.1822,100,97,97,21,none
1.2341,93,96,97,21,delta
1.2723,93,95,97,21,interval
1.3018,93,96,97,21,delta
1.3533,100,96,97,21,delta
1.3802,100,97,97,21,delta
1.4278,93,96,97,21,delta
1.4573,93,96,97,21,delta
1.5084,80,90,93,22,interval
1.5613,90,86,93,22,interval
1.6127,77,84,93,22,interval
1.6501,64,78,93,22,interval
1.6901,57,74,93,22,interval
1.7199,51,63,69,23,interval
1.7561,37,58,69,23,interval
1.7949,31,52,69,23,interval
1.8224,24,42,69,23,interval
1.8441,24,30,69,23,interval
1.8654,24,26,69,23,interval
1.8873,24,25,69,23,interval
1.911,24,24,69,23,interval
1.9311,24,24,24,24,delta
1.9521,24,24,24,24,delta
1.9726,24,24,24,24,delta
1.9926,24,24,24,24,delta
2.0132,24,24,24,24,delta
2.0341,24,24,24,24,delta
2.0547,24,24,24,24,delta
2.0751,24,24,24,24,delta
2.0969,24,24,24,24,delta
2.1168,24,24,24,24,delta
2.1375,24,24,24,24,delta
2.1583,24,24,24,24,delta
2.179,24,24,24,24,delta
2.1993,24,24,24,24,delta
2.2208,24,24,24,24,delta
2.2408,24,24,24,24,delta
2.2613,24,24,24,24,delta
2.2822,24,24,24,24,delta
2.3029,24,24,24,24,delta
2.3234,24,24,24,24,delta
2.3449,24,24,24,24,delta
2.3675,24,24,24,24,delta
2.3887,24,24,24,24,delta
2.409,24,24,24,24,delta
2.4294,24,24,24,24,delta
2.4508,24,24,24,24,delta
2.4707,24,24,24,24,delta
2.4912,24,24,24,24,delta
2.5127,24,24,24,24,delta
2.5331,24,24,24,24,delta
2.5552,24,24,24,24,delta
2.5767,24,24,24,24,delta
2.5995,24,24,24,24,delta
2.6209,24,24,24,24,delta
2.641,24,24,24,24,delta
2.6624,24,24,24,24,delta
2.6827,24,24,24,24,delta
2.7035,24,24,24,24,delta
2.7257,24,24,24,24,delta
2.7467,24,24,24,24,delta
2.7698,24,24,24,24,delta
2.7901,24,24,24,24,delta
2.8108,24,24,24,24,delta
2.8319,24,24,24,24,delta
2.8528,24,24,24,24,delta
2.8729,24,24,24,24,delta
2.8934,24,24,24,24,delta
2.9153,24,24,24,24,delta
2.9392,24,24,24,24,delta
2.9609,24,24,24,24,delta
2.9811,24,24,24,24,delta
3.0032,24,24,24,24,delta
