t_s,bufPctRaw,bufPctSmoothed,bufPctDrawn,redraws,lastSkipReason
0.0,19,19,19,39,delta
0.0237,19,19,19,39,delta
0.0458,19,19,19,39,delta
0.0672,19,19,19,39,delta
0.0898,19,19,19,39,delta
0.111,19,19,19,39,delta
0.1313,19,19,19,39,delta
0.1517,19,19,19,39,delta
0.173,19,19,19,39,delta
0.1931,19,19,19,39,delta
0.2137,19,19,19,39,delta
0.2359,19,19,19,39,delta
0.2574,19,19,19,39,delta
0.2771,19,19,19,39,delta
0.297,19,19,19,39,delta
0.3175,19,19,19,39,delta
0.3392,19,19,19,39,delta
0.3592,19,19,19,39,delta
0.3795,19,19,19,39,delta
0.4012,19,19,19,39,delta
0.421,19,19,19,39,delta
0.4415,19,19,19,39,delta
0.4639,19,19,19,39,delta
0.4879,19,19,19,39,delta
0.5095,19,19,19,39,delta
0.531,19,19,19,39,delta
0.5516,19,19,19,39,delta
0.5731,19,19,19,39,delta
0.593,19,19,19,39,delta
0.6138,19,19,19,39,delta
0.6352,19,19,19,39,delta
0.6583,19,19,19,39,delta
0.6782,19,19,19,39,delta
0.6992,19,19,19,39,delta
0.7208,19,19,19,39,delta
0.7422,19,19,19,39,delta
0.7651,19,19,19,39,delta
0.786,19,19,19,39,delta
0.806,19,19,19,39,delta
0.8265,19,19,19,39,delta
0.8481,19,19,19,39,delta
0.8682,19,19,19,39,delta
0.8887,19,19,19,39,delta
0.9102,19,19,19,39,delta
0.9302,19,19,19,39,delta
0.9506,19,19,19,39,delta
0.9721,19,19,19,39,delta
0.9924,19,19,19,39,delta
1.0147,19,19,19,39,delta
1.0364,19,19,19,39,delta
1.0587,19,19,19,39,delta
1.0804,19,19,19,39,delta
1.1024,19,19,19,39,delta
1.1251,19,19,19,39,delta
1.1462,19,19,19,39,delta
1.1667,19,19,19,39,delta
1.1882,19,19,19,39,delta
1.2083,19,19,19,39,delta
1.2295,19,19,19,39,delta
1.2562,19,19,19,39,delta
1.2776,19,19,19,39,delta
1.2992,19,19,19,39,delta
1.3191,19,19,19,39,delta
1.3399,19,19,19,39,delta
1.3612,19,19,19,39,delta
1.381,19,19,19,39,delta
1.4015,19,19,19,39,delta
1.4231,19,19,19,39,delta
1.4433,19,19,19,39,delta
1.4637,19,19,19,39,delta
1.4859,19,19,19,39,delta
1.5101,19,19,19,39,delta
1.5313,19,19,19,39,delta
1.5512,19,19,19,39,delta
1.5721,19,19,19,39,delta
1.5933,19,19,19,39,delta
1.6135,19,19,19,39,delta
1.6358,19,19,19,39,delta
1.6574,19,19,19,39,delta
1.68,19,19,19,39,delta
1.7011,19,19,19,39,delta
1.7213,19,19,19,39,delta
1.7417,19,19,19,39,delta
1.7634,19,19,19,39,delta
1.7874,19,19,19,39,delta
1.8073,19,19,19,39,delta
1.8273,19,19,19,39,delta
1.8477,19,19,19,39,delta
1.8691,19,19,19,39,delta
1.8893,19,19,19,39,delta
1.9099,19,19,19,39,delta
1.9313,19,19,19,39,delta
1.9514,19,19,19,39,delta
1.9719,19,19,19,39,delta
1.9938,19,19,19,39,delta
2.0175,19,19,19,39,delta
2.0393,19,19,19,39,delta
2.0591,19,19,19,39,delta
