t_s,bufPctRaw,bufPctSmoothed,bufPctDrawn,redraws,lastSkipReason
0.0,20,20,20,78,delta
0.0222,20,20,20,78,delta
0.0432,20,20,20,78,delta
0.0637,20,20,20,78,delta
0.0851,20,20,20,78,delta
0.109,20,20,20,78,delta
0.131,20,20,20,78,delta
0.1523,20,20,20,78,delta
0.1729,20,20,20,78,delta
0.1942,20,20,20,78,delta
0.2143,20,20,20,78,delta
0.2348,20,20,20,78,delta
0.2564,20,20,20,78,delta
0.2762,20,20,20,78,delta
0.2966,20,20,20,78,delta
0.3167,20,20,20,78,delta
0.3382,20,20,20,78,delta
0.3588,20,20,20,78,delta
0.3802,20,20,20,78,delta
0.4013,20,20,20,78,delta
0.4227,20,20,20,78,delta
0.4445,20,20,20,78,delta
0.4669,20,20,20,78,delta
0.4887,20,20,20,78,delta
0.5116,20,20,20,78,delta
0.5331,20,20,20,78,delta
0.5548,20,20,20,78,delta
0.5769,20,20,20,78,delta
0.5982,20,20,20,78,delta
0.6183,20,20,20,78,delta
0.6386,20,20,20,78,delta
0.6588,20,20,20,78,delta
0.6802,20,20,20,78,delta
0.7012,20,20,20,78,delta
0.7223,20,20,20,78,delta
0.7424,20,20,20,78,delta
0.7629,20,20,20,78,delta
0.7844,20,20,20,78,delta
0.8045,20,20,20,78,delta
0.8263,20,20,20,78,delta
0.8463,20,20,20,78,delta
0.8663,20,20,20,78,delta
0.8867,20,20,20,78,delta
0.9082,20,20,20,78,delta
0.9285,20,20,20,78,delta
0.9509,20,20,20,78,delta
0.9723,20,20,20,78,delta
0.9951,20,20,20,78,delta
1.0161,20,20,20,78,delta
1.0361,20,20,20,78,delta
1.0568,20,20,20,78,delta
1.0781,20,20,20,78,delta
1.0983,20,20,20,78,delta
1.1191,20,20,20,78,delta
1.1403,20,20,20,78,delta
1.1602,20,20,20,78,delta
1.1807,20,20,20,78,delta
1.2023,20,20,20,78,delta
1.2221,20,20,20,78,delta
1.2428,20,20,20,78,delta
1.2644,20,20,20,78,delta
