t_s,bufPctRaw,bufPctSmoothed,bufPctDrawn,redraws,lastSkipReason
0.0,0,0,0,85,delta
0.0201,0,0,0,85,delta
0.0396,0,0,0,85,delta
0.0596,0,0,0,85,delta
0.0798,0,0,0,85,delta
0.0995,0,0,0,85,delta
0.1196,0,0,0,85,delta
0.1397,0,0,0,85,delta
0.1597,0,0,0,85,delta
0.1796,0,0,0,85,delta
0.2001,0,0,0,85,delta
0.2217,0,0,0,85,delta
0.2417,0,0,0,85,delta
0.262,0,0,0,85,delta
0.2817,0,0,0,85,delta
0.3019,0,0,0,85,delta
0.322,0,0,0,85,delta
0.3418,0,0,0,85,delta
0.3617,0,0,0,85,delta
0.3817,0,0,0,85,delta
0.4018,0,0,0,85,delta
0.4217,0,0,0,85,delta
0.442,0,0,0,85,delta
0.4617,0,0,0,85,delta
0.4816,0,0,0,85,delta
0.5022,0,0,0,85,delta
0.5989,0,0,0,85,delta
1.0808,0,0,0,85,delta
1.1764,0,0,0,85,delta
1.2663,0,0,0,85,delta
1.287,0,0,0,85,delta
1.3066,0,0,0,85,delta
1.3267,0,0,0,85,delta
1.3471,0,0,0,85,delta
1.4146,0,0,0,85,delta
1.4804,0,0,0,85,delta
1.5463,0,0,0,85,delta
1.6127,0,0,0,85,delta
1.6788,0,0,0,85,delta
1.7451,0,0,0,85,delta
1.8104,0,0,0,85,delta
1.8765,0,0,0,85,delta
1.9426,0,0,0,85,delta
2.0086,0,0,0,85,delta
2.0751,0,0,0,85,delta
2.1405,0,0,0,85,delta
2.2072,0,0,0,85,delta
2.2736,0,0,0,85,delta
2.3399,0,0,0,85,delta
2.4056,0,0,0,85,delta
2.4715,0,0,0,85,delta
2.5374,0,0,0,85,delta
2.6038,0,0,0,85,delta
2.6697,0,0,0,85,delta
2.7359,0,0,0,85,delta
2.8049,0,0,0,85,delta
2.8703,0,0,0,85,delta
2.9366,0,0,0,85,delta
3.0027,0,0,0,85,delta
3.0683,0,0,0,85,delta
3.1346,0,0,0,85,delta
3.2005,0,0,0,85,delta
3.2664,0,0,0,85,delta
3.3331,0,0,0,85,delta
3.3987,0,0,0,85,delta
3.4647,0,0,0,85,delta
3.5306,0,0,0,85,delta
3.5966,0,0,0,85,delta
3.6626,0,0,0,85,delta
3.7289,0,0,0,85,delta
3.7949,0,0,0,85,delta
3.8609,0,0,0,85,delta
3.8808,0,0,0,85,delta
3.9006,0,0,0,85,delta
3.9226,0,0,0,85,delta
3.9427,0,0,0,85,delta
3.9625,0,0,0,85,delta
3.9829,0,0,0,85,delta
4.0026,0,0,0,85,delta
4.0224,0,0,0,85,delta
4.0427,0,0,0,85,delta
4.0627,0,0,0,85,delta
4.0829,0,0,0,85,delta
4.1029,0,0,0,85,delta
4.1228,0,0,0,85,delta
4.1433,0,0,0,85,delta
4.1638,0,0,0,85,delta
4.1837,0,0,0,85,delta
4.2035,0,0,0,85,delta
4.2238,0,0,0,85,delta
4.2436,0,0,0,85,delta
4.264,0,0,0,85,delta
4.2839,0,0,0,85,delta
4.3048,0,0,0,85,delta
4.3246,0,0,0,85,delta
4.3449,0,0,0,85,delta
4.3648,0,0,0,85,delta
4.3847,0,0,0,85,delta
4.4048,0,0,0,85,delta
4.4246,0,0,0,85,delta
4.4447,0,0,0,85,delta
4.4647,0,0,0,85,delta
4.4846,0,0,0,85,delta
4.5046,0,0,0,85,delta
4.5249,0,0,0,85,delta
4.5445,0,0,0,85,delta
4.5646,0,0,0,85,delta
4.5847,0,0,0,85,delta
4.6044,0,0,0,85,delta
4.6245,0,0,0,85,delta
4.6448,0,0,0,85,delta
4.6647,0,0,0,85,delta
4.6848,0,0,0,85,delta
4.7051,0,0,0,85,delta
4.7269,0,0,0,85,delta
4.7475,0,0,0,85,delta
4.7678,0,0,0,85,delta
4.7877,0,0,0,85,delta
4.8077,0,0,0,85,delta
4.8277,0,0,0,85,delta
4.8475,0,0,0,85,delta
4.8675,0,0,0,85,delta
4.8877,0,0,0,85,delta
4.9078,0,0,0,85,delta
4.9278,0,0,0,85,delta
4.948,0,0,0,85,delta
4.9697,0,0,0,85,delta
4.9895,0,0,0,85,delta
5.0098,0,0,0,85,delta
5.0297,0,0,0,85,delta
5.0494,0,0,0,85,delta
5.0697,0,0,0,85,delta
5.0896,0,0,0,85,delta
5.1096,0,0,0,85,delta
5.1299,0,0,0,85,delta
5.1496,0,0,0,85,delta
5.1695,0,0,0,85,delta
5.1898,0,0,0,85,delta
5.2095,0,0,0,85,delta
5.2295,0,0,0,85,delta
5.2498,0,0,0,85,delta
5.2695,0,0,0,85,delta
5.2905,0,0,0,85,delta
5.3108,0,0,0,85,delta
5.3305,0,0,0,85,delta
5.3506,0,0,0,85,delta
5.3714,0,0,0,85,delta
5.3916,0,0,0,85,delta
5.4116,0,0,0,85,delta
5.4317,0,0,0,85,delta
5.4516,0,0,0,85,delta
5.4718,0,0,0,85,delta
5.4918,0,0,0,85,delta
5.5115,0,0,0,85,delta
5.5316,0,0,0,85,delta
5.5518,0,0,0,85,delta
5.5715,0,0,0,85,delta
5.5916,0,0,0,85,delta
5.6118,0,0,0,85,delta
5.6316,0,0,0,85,delta
