t_s,bufPctRaw,bufPctSmoothed,bufPctDrawn,redraws,lastSkipReason,wrState
0.0,19,19,19,6,delta,2
0.0365,19,19,19,6,delta,2
0.0577,19,19,19,6,delta,2
0.0795,19,19,19,6,delta,2
0.0995,19,19,19,6,delta,2
0.1201,19,19,19,6,delta,2
0.1522,19,19,19,6,delta,2
0.1741,19,19,19,6,delta,2
0.1954,19,19,19,6,delta,2
0.2178,19,19,19,6,delta,2
0.2393,19,19,19,6,delta,2
0.2736,19,19,19,6,delta,2
0.2954,19,19,19,6,delta,2
0.3158,19,19,19,6,delta,2
0.3379,19,19,19,6,delta,2
0.3593,19,19,19,6,delta,2
0.3956,19,19,19,6,delta,2
0.416,19,19,19,6,delta,2
0.4377,19,19,19,6,delta,2
0.4593,19,19,19,6,delta,2
0.4816,19,19,19,6,delta,2
0.5124,19,19,19,6,delta,2
0.5339,19,19,19,6,delta,2
0.5552,19,19,19,6,delta,2
0.5754,19,19,19,6,delta,2
0.5959,19,19,19,6,delta,2
0.6286,19,19,19,6,delta,2
0.6508,19,19,19,6,delta,2
0.6714,19,19,19,6,delta,2
0.6941,19,19,19,6,delta,2
0.7152,19,19,19,6,delta,2
0.7463,19,19,19,6,delta,2
0.7671,19,19,19,6,delta,2
0.7881,19,19,19,6,delta,2
0.8111,19,19,19,6,delta,2
0.8323,19,19,19,6,delta,2
0.8669,19,19,19,6,delta,2
0.8883,19,19,19,6,delta,2
0.9098,19,19,19,6,delta,2
0.9304,19,19,19,6,delta,2
0.9507,19,19,19,6,delta,2
0.9852,19,19,19,6,delta,2
1.0068,19,19,19,6,delta,2
1.0295,19,19,19,6,delta,2
1.0503,19,19,19,6,delta,2
1.0728,19,19,19,6,delta,2
1.1053,19,19,19,6,delta,2
1.1264,19,19,19,6,delta,2
1.1464,19,19,19,6,delta,2
1.1675,19,19,19,6,delta,2
1.1888,19,19,19,6,delta,2
1.2214,19,19,19,6,delta,2
1.2426,19,19,19,6,delta,2
1.2623,19,19,19,6,delta,2
1.2823,19,19,19,6,delta,2
1.3028,19,19,19,6,delta,2
1.3352,19,19,19,6,delta,2
1.3563,19,19,19,6,delta,2
1.377,19,19,19,6,delta,2
1.401,19,19,19,6,delta,2
1.4217,19,19,19,6,delta,2
1.4534,19,19,19,6,delta,2
1.4741,19,19,19,6,delta,2
1.4942,19,19,19,6,delta,2
1.5147,19,19,19,6,delta,2
1.5363,19,19,19,6,delta,2
1.5698,19,19,19,6,delta,2
1.5904,19,19,19,6,delta,2
1.6105,19,19,19,6,delta,2
1.6309,19,19,19,6,delta,2
