t_s,bufPctRaw,bufPctSmoothed,bufPctDrawn,redraws,lastSkipReason,wrState
0.0,20,20,20,95,delta,2
0.0336,20,20,20,95,delta,2
0.0548,20,20,20,95,delta,2
0.0753,20,20,20,95,delta,2
0.0968,20,20,20,95,delta,2
0.1167,20,20,20,95,delta,2
0.1673,20,20,20,95,delta,2
0.1885,20,20,20,95,delta,2
0.2086,20,20,20,95,delta,2
0.229,20,20,20,95,delta,2
0.2506,20,20,20,95,delta,2
0.2839,20,20,20,95,delta,2
0.3047,20,20,20,95,delta,2
0.3248,20,20,20,95,delta,2
0.3452,20,20,20,95,delta,2
0.3668,20,20,20,95,delta,2
0.4037,20,20,20,95,delta,2
0.4253,20,20,20,95,delta,2
0.447,20,20,20,95,delta,2
0.4686,20,20,20,95,delta,2
0.4889,20,20,20,95,delta,2
0.5252,20,20,20,95,delta,2
0.5467,20,20,20,95,delta,2
0.5672,20,20,20,95,delta,2
0.5887,20,20,20,95,delta,2
0.609,20,20,20,95,delta,2
0.6437,20,20,20,95,delta,2
0.6646,20,20,20,95,delta,2
0.6855,20,20,20,95,delta,2
0.7073,20,20,20,95,delta,2
0.731,20,20,20,95,delta,2
0.7639,20,20,20,95,delta,2
0.7859,20,20,20,95,delta,2
0.8061,20,20,20,95,delta,2
0.8277,20,20,20,95,delta,2
0.8486,20,20,20,95,delta,2
0.886,20,20,20,95,delta,2
0.9082,20,20,20,95,delta,2
0.93,20,20,20,95,delta,2
0.9524,20,20,20,95,delta,2
0.9739,20,20,20,95,delta,2
1.0077,20,20,20,95,delta,2
1.0278,20,20,20,95,delta,2
1.0482,20,20,20,95,delta,2
1.0697,20,20,20,95,delta,2
1.0898,20,20,20,95,delta,2
1.1223,20,20,20,95,delta,2
1.144,20,20,20,95,delta,2
1.1661,20,20,20,95,delta,2
1.1877,20,20,20,95,delta,2
1.2103,20,20,20,95,delta,2
1.2423,20,20,20,95,delta,2
1.2651,20,20,20,95,delta,2
1.2856,20,20,20,95,delta,2
1.3056,20,20,20,95,delta,2
1.3262,20,20,20,95,delta,2
1.3587,20,20,20,95,delta,2
1.3798,20,20,20,95,delta,2
1.4002,20,20,20,95,delta,2
1.4242,20,20,20,95,delta,2
1.4457,20,20,20,95,delta,2
1.4769,20,20,20,95,delta,2
1.4975,20,20,20,95,delta,2
1.5209,20,20,20,95,delta,2
1.542,20,20,20,95,delta,2
1.5636,20,20,20,95,delta,2
1.5949,20,20,20,95,delta,2
1.6158,20,20,20,95,delta,2
1.6356,20,20,20,95,delta,2
1.6571,20,20,20,95,delta,2
1.6776,20,20,20,95,delta,2
1.7089,20,20,20,95,delta,2
1.7297,20,20,20,95,delta,2
1.7496,20,20,20,95,delta,2
1.77,20,20,20,95,delta,2
1.7923,20,20,20,95,delta,2
1.8239,20,20,20,95,delta,2
1.8447,20,20,20,95,delta,2
1.8647,20,20,20,95,delta,2
1.8852,20,20,20,95,delta,2
1.9101,20,20,20,95,delta,2
1.9436,20,20,20,95,delta,2
1.9647,20,20,20,95,delta,2
1.9852,20,20,20,95,delta,2
2.0068,20,20,20,95,delta,2
2.0267,20,20,20,95,delta,2
2.0594,20,20,20,95,delta,2
2.0804,20,20,20,95,delta,2
2.1013,20,20,20,95,delta,2
2.1234,20,20,20,95,delta,2
2.1473,20,20,20,95,delta,2
2.1796,20,20,20,95,delta,2
2.2008,20,20,20,95,delta,2
2.2207,20,20,20,95,delta,2
2.2409,20,20,20,95,delta,2
2.2612,20,20,20,95,delta,2
2.2934,20,20,20,95,delta,2
2.3151,20,20,20,95,delta,2
2.3367,20,20,20,95,delta,2
2.3595,20,20,20,95,delta,2
2.3807,20,20,20,95,delta,2
