t_s,bufPctRaw,bufPctSmoothed,bufPctDrawn,redraws,lastSkipReason,wrState
0.0,93,97,99,128,interval,2
0.0748,93,97,99,128,interval,2
0.1266,100,99,99,128,delta,2
0.1737,93,97,97,129,none,2
0.2032,93,97,97,129,delta,2
0.2618,93,96,97,129,delta,2
0.3439,93,97,97,129,delta,2
0.3825,93,96,97,129,delta,2
0.4124,93,96,95,130,delta,2
0.4644,100,97,95,130,interval,2
0.5159,93,96,95,130,delta,2
0.5798,93,96,95,130,delta,2
0.6205,100,96,95,130,delta,2
0.6595,93,96,97,131,delta,2
0.702,93,96,97,131,delta,2
0.7482,93,96,97,131,delta,2
0.813,93,97,97,131,delta,2
0.8584,100,98,97,131,delta,2
0.9052,93,97,97,131,delta,2
0.9344,100,99,99,132,none,2
0.972,93,97,99,132,interval,2
1.041,93,98,99,132,delta,2
1.0913,100,97,99,132,interval,2
1.1416,100,97,97,133,delta,2
1.1779,100,98,97,133,delta,2
1.2222,95,96,97,133,delta,2
1.2767,100,98,97,133,delta,2
1.3223,93,97,97,133,delta,2
1.3527,100,97,97,133,delta,2
1.3808,100,98,97,133,delta,2
1.426,93,97,97,133,delta,2
1.4849,100,98,97,133,delta,2
1.531,93,97,97,133,delta,2
1.5657,93,96,97,133,delta,2
1.6135,100,97,97,133,delta,2
1.6482,93,96,97,133,delta,2
1.7019,100,97,95,134,interval,2
1.7473,93,96,95,134,delta,2
1.7935,93,96,95,134,delta,2
1.8222,100,98,95,134,interval,2
1.8732,100,98,95,134,interval,2
1.9129,93,97,97,135,delta,2
1.9553,93,97,97,135,delta,2
2.0024,93,96,97,135,delta,2
2.0321,93,95,97,135,interval,2
2.0879,93,96,97,135,delta,2
2.1643,100,97,95,136,interval,2
2.2102,93,96,95,136,delta,2
2.2446,100,98,95,136,interval,2
2.2912,100,98,95,136,interval,2
2.319,100,97,95,136,interval,2
2.3736,93,97,97,137,delta,2
2.4205,93,96,97,137,delta,2
2.4546,93,97,97,137,delta,2
2.5013,100,97,97,137,delta,2
2.5362,93,96,97,137,delta,2
2.5894,93,96,97,137,delta,2
2.6346,100,96,95,138,delta,2
2.6811,93,96,95,138,delta,2
2.7111,100,96,95,138,delta,2
2.762,100,97,95,138,interval,2
2.798,93,97,95,138,interval,2
2.844,100,98,98,139,delta,2
2.8902,93,97,98,139,delta,2
2.9194,93,97,98,139,delta,2
2.9713,100,97,98,139,delta,2
3.0311,93,96,98,139,interval,2
3.077,100,96,95,140,delta,2
3.1112,100,97,95,140,interval,2
3.1514,93,96,95,140,delta,2
3.1854,93,97,95,140,interval,2
3.2688,93,97,97,141,none,2
3.3084,93,96,97,141,delta,2
3.3373,100,96,97,141,delta,2
3.3653,100,97,97,141,delta,2
3.4119,93,96,97,141,delta,2
3.4768,93,96,97,141,delta,2
3.5223,93,95,95,142,delta,2
3.5694,93,94,95,142,delta,2
3.6015,93,96,95,142,delta,2
3.6513,100,97,95,142,interval,2
3.7355,93,98,99,143,delta,2
3.7783,93,97,99,143,interval,2
3.8109,93,97,99,143,interval,2
3.8604,100,97,99,143,interval,2
3.89,93,97,99,143,interval,2
3.9483,93,96,96,144,delta,2
3.9872,93,96,96,144,delta,2
4.0196,93,96,96,144,delta,2
4.0738,93,96,96,144,delta,2
4.1214,100,97,96,144,delta,2
4.1809,93,96,96,144,delta,2
4.2253,94,95,96,144,delta,2
4.2583,93,96,96,144,delta,2
4.3013,93,95,96,144,delta,2
4.3306,100,97,96,144,delta,2
4.4086,95,96,96,144,delta,2
4.4564,82,93,93,145,none,2
4.4867,75,82,93,145,interval,2
4.5218,62,78,93,145,interval,2
4.5619,56,74,93,145,interval,2
4.6286,93,89,93,145,interval,2
4.6675,93,90,90,146,none,2
4.6969,93,94,90,146,interval,2
4.7487,100,97,90,146,interval,2
4.7856,100,98,90,146,interval,2
4.8648,93,97,97,147,none,2
4.9048,100,97,97,147,delta,2
4.9395,100,98,97,147,delta,2
4.9832,100,97,97,147,delta,2
5.0085,100,98,97,147,delta,2
5.0452,93,97,97,147,delta,2
5.0884,100,97,97,147,delta,2
5.1132,98,97,97,147,delta,2
5.1377,91,95,95,148,none,2
5.1649,85,92,95,148,interval,2
5.2306,93,95,95,148,delta,2
5.2708,100,97,95,148,interval,2
5.306,93,97,95,148,interval,2
5.3469,93,95,95,148,delta,2
5.3755,100,97,97,149,none,2
5.4383,93,97,97,149,delta,2
5.4791,100,97,97,149,delta,2
5.5182,93,96,97,149,delta,2
5.5547,93,96,97,149,delta,2
5.5847,86,93,95,150,interval,2
5.6473,79,86,95,150,interval,2
5.6873,66,79,95,150,interval,2
5.7226,66,71,95,150,interval,2
5.7791,63,69,69,151,none,2
5.8153,56,67,69,151,interval,2
5.882,37,50,69,151,interval,2
5.9299,93,66,69,151,interval,2
5.9735,93,72,69,151,interval,2
6.0026,100,77,77,152,none,2
6.0399,93,81,77,152,interval,2
6.0907,93,90,77,152,interval,2
6.1347,100,92,77,152,interval,2
6.1825,93,92,77,152,interval,2
6.2113,98,93,92,153,delta,2
6.2383,100,96,92,153,interval,2
6.2998,93,96,92,153,interval,2
6.3435,100,98,92,153,interval,2
6.3796,93,97,92,153,interval,2
6.4209,93,96,96,154,none,2
6.4743,100,97,96,154,delta,2
6.5494,93,96,96,154,delta,2
6.5772,100,97,96,154,delta,2
6.6144,93,96,96,154,delta,2
6.6523,93,96,96,154,delta,2
6.6817,81,91,94,155,interval,2
6.7584,68,79,94,155,interval,2
6.7844,61,72,94,155,interval,2
6.8098,55,69,94,155,interval,2
6.8387,71,70,94,155,interval,2
6.8729,58,66,66,156,none,2
6.9561,93,85,66,156,interval,2
6.9941,99,90,66,156,interval,2
7.0187,92,91,66,156,interval,2
7.0466,86,89,66,156,interval,2
7.0819,73,86,86,157,none,2
7.159,53,68,86,157,interval,2
7.2023,47,60,86,157,interval,2
7.2267,40,56,86,157,interval,2
7.2595,49,55,86,157,interval,2
7.3075,43,52,52,158,none,2
7.3437,30,43,52,158,interval,2
7.3942,54,48,52,158,interval,2
7.425,93,66,52,158,interval,2
7.4706,93,81,52,158,interval,2
7.5189,93,88,83,159,interval,2
7.6047,95,94,83,159,interval,2
7.654,93,96,83,159,interval,2
7.6964,93,95,83,159,interval,2
7.727,100,96,95,160,delta,2
7.7544,100,97,95,160,interval,2
7.8139,93,95,95,160,delta,2
7.8534,93,95,95,160,delta,2
7.8819,100,96,95,160,delta,2
7.9351,100,96,95,160,delta,2
7.9703,93,96,97,161,delta,2
8.0449,93,97,97,161,delta,2
8.0913,100,97,97,161,delta,2
8.1153,93,96,97,161,delta,2
8.1467,93,95,97,161,interval,2
8.2033,93,96,97,161,delta,2
8.2837,93,96,97,161,delta,2
8.3252,93,95,95,162,none,2
8.3534,100,96,95,162,delta,2
8.3804,100,97,95,162,interval,2
8.4057,100,98,95,162,interval,2
8.4667,93,97,95,162,interval,2
8.5094,100,97,95,162,interval,2
8.5335,93,96,95,162,delta,2
8.5674,93,96,97,163,delta,2
8.6141,100,96,97,163,delta,2
8.6777,93,97,97,163,delta,2
8.7182,100,97,97,163,delta,2
8.7476,93,97,97,163,delta,2
8.7946,93,96,97,163,delta,2
8.8234,93,96,95,164,delta,2
8.8866,93,96,95,164,delta,2
8.9324,93,96,95,164,delta,2
8.9829,93,96,95,164,delta,2
9.0323,100,96,95,164,delta,2
9.0669,100,98,97,165,delta,2
9.1481,93,97,97,165,delta,2
9.1892,93,96,97,165,delta,2
9.2476,93,96,97,165,delta,2
9.2962,93,96,97,165,delta,2
9.3452,100,97,97,165,delta,2
9.4048,93,96,97,165,delta,2
9.4552,93,96,97,165,delta,2
9.5021,100,96,97,165,delta,2
9.5366,93,96,97,165,delta,2
9.5774,93,96,97,165,delta,2
9.6217,93,96,97,165,delta,2
9.6593,93,96,95,166,delta,2
9.7114,100,98,95,166,interval,2
9.7488,100,98,95,166,interval,2
9.791,96,96,95,166,delta,2
9.8517,76,87,87,167,none,2
9.8904,69,83,87,167,interval,2
9.9197,63,73,87,167,interval,2
9.9545,93,82,87,167,interval,2
10.002,93,89,87,167,interval,2
10.0599,93,92,92,168,none,2
10.0999,93,92,92,168,delta,2
10.1289,100,95,92,168,interval,2
10.1809,100,96,92,168,interval,2
10.2193,100,98,92,168,interval,2
10.295,93,96,96,169,delta,2
10.3384,100,97,96,169,delta,2
10.3892,100,97,96,169,delta,2
10.4249,89,95,96,169,delta,2
10.4651,83,93,96,169,interval,2
10.5199,70,77,89,170,interval,2
10.5465,63,70,89,170,interval,2
10.5818,73,71,89,170,interval,2
10.6214,66,70,89,170,interval,2
10.6526,53,64,89,170,interval,2
10.7362,93,86,71,171,interval,2
10.7796,93,87,71,171,interval,2
10.8083,81,86,71,171,interval,2
10.8594,75,82,71,171,interval,2
10.8835,68,79,71,171,interval,2
10.9385,55,66,76,172,interval,2
10.9644,49,60,76,172,interval,2
11.0001,35,50,76,172,interval,2
11.0443,29,37,76,172,interval,2
11.0814,22,28,76,172,interval,2
11.1148,22,23,23,173,delta,2
11.1365,22,22,23,173,delta,2
11.159,22,22,23,173,delta,2
11.1799,22,22,23,173,delta,2
11.2022,22,22,23,173,delta,2
11.2351,22,22,23,173,delta,2
11.256,22,22,23,173,delta,2
11.2759,22,22,23,173,delta,2
11.2963,22,22,23,173,delta,2
11.3192,22,22,23,173,delta,2
11.353,22,22,23,173,delta,2
11.3737,27,23,23,173,delta,2
11.4206,25,23,23,173,delta,2
11.4672,19,21,21,174,delta,2
11.4906,19,20,21,174,delta,2
11.5226,19,19,21,174,interval,2
11.5433,19,19,21,174,interval,2
11.5645,19,19,21,174,interval,2
11.586,19,19,21,174,interval,2
11.6067,19,19,21,174,interval,2
11.643,19,19,21,174,interval,2
11.664,19,19,21,174,interval,2
11.6853,19,19,19,175,delta,2
11.7072,19,19,19,175,delta,2
11.7286,19,19,19,175,delta,2
11.7607,19,19,19,175,delta,2
11.7808,19,19,19,175,delta,2
11.801,19,19,19,175,delta,2
11.8218,19,19,19,175,delta,2
11.8426,19,19,19,175,delta,2
11.8738,19,19,19,175,delta,2
11.8948,19,19,19,175,delta,2
11.9149,19,19,19,175,delta,2
11.9353,19,19,19,175,delta,2
11.9574,19,19,19,175,delta,2
11.9919,19,19,19,175,delta,2
12.0128,19,19,19,175,delta,2
12.0336,19,19,19,175,delta,2
12.0538,19,19,19,175,delta,2
12.0751,19,19,19,175,delta,2
12.11,19,19,19,175,delta,2
12.1308,19,19,19,175,delta,2
12.1518,19,19,19,175,delta,2
12.173,19,19,19,175,delta,2
12.1996,19,19,19,175,delta,2
12.2319,19,19,19,175,delta,2
12.2529,19,19,19,175,delta,2
12.2728,19,19,19,175,delta,2
12.2927,19,19,19,175,delta,2
