t_s,bufPctRaw,bufPctSmoothed,bufPctDrawn,redraws,lastSkipReason,wrState
0.0,20,20,20,214,delta,2
0.0364,20,20,20,214,delta,2
0.0572,20,20,20,214,delta,2
0.0774,20,20,20,214,delta,2
0.0998,20,20,20,214,delta,2
0.1211,20,20,20,214,delta,2
0.1517,20,20,20,214,delta,2
0.1732,20,20,20,214,delta,2
0.1935,20,20,20,214,delta,2
0.2157,20,20,20,214,delta,2
0.2374,20,20,20,214,delta,2
0.272,20,20,20,214,delta,2
0.293,20,20,20,214,delta,2
0.3138,20,20,20,214,delta,2
0.3353,20,20,20,214,delta,2
0.3571,20,20,20,214,delta,2
0.39,20,20,20,214,delta,2
0.4119,20,20,20,214,delta,2
0.4343,20,20,20,214,delta,2
0.4551,20,20,20,214,delta,2
0.4778,20,20,20,214,delta,2
0.5101,20,20,20,214,delta,2
0.5313,20,20,20,214,delta,2
0.554,20,20,20,214,delta,2
0.5741,20,20,20,214,delta,2
0.5947,20,20,20,214,delta,2
0.6315,20,20,20,214,delta,2
0.6522,20,20,20,214,delta,2
0.6721,20,20,20,214,delta,2
0.6928,20,20,20,214,delta,2
0.7141,20,20,20,214,delta,2
0.7469,20,20,20,214,delta,2
0.7682,20,20,20,214,delta,2
0.7885,20,20,20,214,delta,2
0.8102,20,20,20,214,delta,2
0.8303,20,20,20,214,delta,2
0.867,20,20,20,214,delta,2
0.8882,20,20,20,214,delta,2
0.9087,20,20,20,214,delta,2
0.9303,20,20,20,214,delta,2
0.9523,20,20,20,214,delta,2
0.985,20,20,20,214,delta,2
1.0061,20,20,20,214,delta,2
1.0274,20,20,20,214,delta,2
1.1226,0,20,20,214,delta,2
1.5944,0,20,20,214,delta,1
1.7345,0,0,0,214,delta,1
1.8435,0,0,0,214,delta,1
1.8649,0,0,0,214,delta,1
1.8863,0,0,0,214,delta,1
1.9089,0,0,0,214,delta,2
1.9403,0,0,0,214,delta,2
1.961,0,0,0,214,delta,2
1.9808,0,0,0,214,delta,2
2.0006,0,0,0,214,delta,2
2.0209,0,0,0,214,delta,2
2.0517,0,0,0,214,delta,2
2.0718,0,0,0,214,delta,2
2.0917,0,0,0,214,delta,2
2.1116,0,0,0,214,delta,2
2.1319,0,0,0,214,delta,2
2.1626,0,0,0,214,delta,2
2.183,0,0,0,214,delta,2
2.2027,0,0,0,214,delta,2
2.2227,0,0,0,214,delta,2
2.2429,0,0,0,214,delta,2
2.2745,0,0,0,214,delta,2
2.2952,0,0,0,214,delta,2
2.3149,0,0,0,214,delta,2
2.335,0,0,0,214,delta,2
2.3554,0,0,0,214,delta,2
2.3867,0,0,0,214,delta,2
2.407,0,0,0,214,delta,2
2.4268,0,0,0,214,delta,2
2.4471,0,0,0,214,delta,2
2.4678,0,0,0,214,delta,2
2.4988,0,0,0,214,delta,2
2.5189,0,0,0,214,delta,2
2.5387,0,0,0,214,delta,2
2.5586,0,0,0,214,delta,2
2.5923,0,0,0,214,delta,2
2.6632,8,7,2,215,interval,2
2.6848,8,8,2,215,interval,2
2.7052,8,8,2,215,interval,2
2.7261,8,8,2,215,interval,2
2.7458,8,8,2,215,interval,2
2.7775,8,8,2,215,interval,2
2.7984,8,8,2,215,interval,2
2.8191,8,8,2,215,interval,2
2.8416,8,8,2,215,interval,2
2.8623,8,8,8,216,delta,2
2.8951,8,8,8,216,delta,2
2.9147,8,8,8,216,delta,2
2.936,8,8,8,216,delta,2
2.9557,8,8,8,216,delta,2
2.9756,8,8,8,216,delta,2
3.0067,8,8,8,216,delta,2
3.0266,8,8,8,216,delta,2
3.0472,8,8,8,216,delta,2
3.0677,8,8,8,216,delta,2
3.0878,8,8,8,216,delta,2
3.1186,8,8,8,216,delta,2
3.1385,8,8,8,216,delta,2
3.159,8,8,8,216,delta,2
3.1788,8,8,8,216,delta,2
3.1986,8,8,8,216,delta,2
3.23,8,8,8,216,delta,2
3.2501,8,8,8,216,delta,2
3.2701,8,8,8,216,delta,2
3.2897,8,8,8,216,delta,2
3.3108,8,8,8,216,delta,2
3.3419,8,8,8,216,delta,2
3.3616,8,8,8,216,delta,2
3.382,8,8,8,216,delta,2
3.4017,8,8,8,216,delta,2
