t_s,bufPctRaw,bufPctSmoothed,bufPctDrawn,redraws,lastSkipReason,wrState
0.0,0,0,0,218,delta,2
0.034,0,0,0,218,delta,2
0.055,0,0,0,218,delta,2
0.0753,0,0,0,218,delta,2
0.0971,0,0,0,218,delta,2
0.1175,0,0,0,218,delta,2
0.1499,0,0,0,218,delta,2
0.1711,0,0,0,218,delta,2
0.191,0,0,0,218,delta,2
0.211,0,0,0,218,delta,2
0.2315,0,0,0,218,delta,2
0.2638,0,0,0,218,delta,2
0.2864,0,0,0,218,delta,2
0.3075,0,0,0,218,delta,2
0.3295,0,0,0,218,delta,2
0.3528,0,0,0,218,delta,2
0.3858,0,0,0,218,delta,2
0.4058,0,0,0,218,delta,2
0.4261,0,0,0,218,delta,2
0.4469,0,0,0,218,delta,2
0.4681,0,0,0,218,delta,2
0.5011,0,0,0,218,delta,2
0.5219,0,0,0,218,delta,2
0.542,0,0,0,218,delta,2
0.5624,0,0,0,218,delta,2
0.5842,0,0,0,218,delta,2
0.621,0,0,0,218,delta,2
0.6417,0,0,0,218,delta,2
0.6623,0,0,0,218,delta,2
0.684,0,0,0,218,delta,2
0.7047,0,0,0,218,delta,2
0.7391,0,0,0,218,delta,2
0.7599,0,0,0,218,delta,2
0.7804,0,0,0,218,delta,2
0.8021,0,0,0,218,delta,2
0.825,0,0,0,218,delta,2
0.8562,8,6,2,219,interval,2
0.8776,8,8,2,219,interval,2
0.899,8,8,2,219,interval,2
0.919,8,8,2,219,interval,2
0.9394,8,8,2,219,interval,2
0.9718,8,8,2,219,interval,2
0.9923,8,8,2,219,interval,2
1.0148,8,8,2,219,interval,2
1.0363,16,14,2,219,interval,2
1.0583,16,15,14,220,delta,2
1.091,16,16,14,220,interval,2
1.1122,16,16,14,220,interval,2
1.1322,16,16,14,220,interval,2
1.1526,16,16,14,220,interval,2
1.1747,16,16,14,220,interval,2
1.2109,16,16,14,220,interval,2
1.2321,16,16,14,220,interval,2
1.2527,16,16,16,221,none,2
1.273,16,16,16,221,delta,2
1.294,16,16,16,221,delta,2
